Geo Point;Geo Shape;Standort;anzeigesta
47.40065186770992, 9.298823418449958;"{""coordinates"": [9.298823418449958, 47.40065186770992], ""type"": ""Point""}";Geigerstrasse 7;1
47.40415952773606, 9.313006169640909;"{""coordinates"": [9.313006169640909, 47.40415952773606], ""type"": ""Point""}";Sturzeneggstrasse 14;1
47.41126812715086, 9.367596187671815;"{""coordinates"": [9.367596187671815, 47.41126812715086], ""type"": ""Point""}";Riethüslistrasse;1
47.41762133360767, 9.381650306880442;"{""coordinates"": [9.381650306880442, 47.41762133360767], ""type"": ""Point""}";St.Georgen-Strasse 71;1
47.423035724679906, 9.382731741561667;"{""coordinates"": [9.382731741561667, 47.423035724679906], ""type"": ""Point""}";Obere Wildeggstrasse 15;1
47.42444476186147, 9.384210265188411;"{""coordinates"": [9.384210265188411, 47.42444476186147], ""type"": ""Point""}";Speicherstrasse 18;1
47.426135993775546, 9.392579233843007;"{""coordinates"": [9.392579233843007, 47.426135993775546], ""type"": ""Point""}";Meienbergstrasse / Jüchstrasse;1
47.43600499965836, 9.388485304696967;"{""coordinates"": [9.388485304696967, 47.43600499965836], ""type"": ""Point""}";Taubenstrasse 7;1
47.40671203256973, 9.341299893739658;"{""coordinates"": [9.341299893739658, 47.40671203256973], ""type"": ""Point""}";Oberstrasse 275;1
47.407471739463745, 9.34329030964508;"{""coordinates"": [9.34329030964508, 47.407471739463745], ""type"": ""Point""}";Rosenbüchelstrasse 17;1
47.42909942801928, 9.377752120679428;"{""coordinates"": [9.377752120679428, 47.42909942801928], ""type"": ""Point""}";Magniberg 4;1
47.44203006801003, 9.408999919048265;"{""coordinates"": [9.408999919048265, 47.44203006801003], ""type"": ""Point""}";Zilweg 6/ 8;1
47.427093267647614, 9.395458733092687;"{""coordinates"": [9.395458733092687, 47.427093267647614], ""type"": ""Point""}";Meienbergstrasse 20;1
47.44022351131173, 9.410925303909424;"{""coordinates"": [9.410925303909424, 47.44022351131173], ""type"": ""Point""}";Schönbüelpark;1
47.417983739790834, 9.353806388131972;"{""coordinates"": [9.353806388131972, 47.417983739790834], ""type"": ""Point""}";Turnerstrasse/Dürrenmattstrasse;1
47.4363516240471, 9.413458065131946;"{""coordinates"": [9.413458065131946, 47.4363516240471], ""type"": ""Point""}";Martinsbruggstrasse 54;1
